,Fecha,Close,Open,Max,Min,Vol,Var
0,"Apr 12, 2021",311.88,310.72,311.92,308.08,9.40M,-0.19%
1,"Apr 09, 2021",312.46,311.40,314.74,310.34,15.99M,-0.18%
2,"Apr 08, 2021",313.02,314.85,315.88,310.05,20.89M,-0.02%
3,"Apr 07, 2021",313.09,306.17,314.25,305.70,22.86M,2.23%
4,"Apr 06, 2021",306.26,308.70,311.25,305.25,17.34M,-0.86%
5,"Apr 05, 2021",308.91,300.73,310.67,300.69,28.24M,3.43%
6,"Apr 01, 2021",298.66,298.40,302.40,296.60,17.62M,1.40%
7,"Mar 31, 2021",294.53,290.02,296.49,288.65,19.50M,2.27%
8,"Mar 30, 2021",288.00,289.87,292.47,286.71,17.47M,-0.97%
9,"Mar 29, 2021",290.82,285.15,293.13,284.87,21.72M,2.76%
10,"Mar 26, 2021",283.02,278.30,284.50,277.77,17.63M,1.54%
11,"Mar 25, 2021",278.74,280.00,287.99,277.76,24.51M,-1.21%
12,"Mar 24, 2021",282.14,291.10,291.69,281.31,18.68M,-2.92%
13,"Mar 23, 2021",290.63,293.35,297.95,289.90,23.00M,-0.99%
14,"Mar 22, 2021",293.54,290.66,299.70,286.88,28.27M,1.18%
15,"Mar 19, 2021",290.11,281.22,292.80,281.20,38.93M,4.12%
16,"Mar 18, 2021",278.62,279.79,285.17,278.44,18.75M,-1.90%
17,"Mar 17, 2021",284.01,276.06,286.21,275.59,21.32M,1.69%
18,"Mar 16, 2021",279.28,275.40,282.10,275.00,22.44M,2.02%
19,"Mar 15, 2021",273.75,269.08,275.93,268.60,16.86M,1.99%
20,"Mar 12, 2021",268.40,268.50,269.66,264.04,20.60M,-2.00%
21,"Mar 11, 2021",273.88,267.94,277.89,267.94,21.83M,3.39%
22,"Mar 10, 2021",264.90,268.53,268.73,262.90,14.21M,-0.32%
23,"Mar 09, 2021",265.74,260.34,268.51,259.81,22.04M,4.09%
24,"Mar 08, 2021",255.31,263.65,265.32,255.08,18.39M,-3.39%
25,"Mar 05, 2021",264.28,260.67,265.45,255.61,26.82M,2.58%
26,"Mar 04, 2021",257.64,256.40,266.48,253.53,31.63M,0.87%
27,"Mar 03, 2021",255.41,260.31,260.85,255.12,15.51M,-1.39%
28,"Mar 02, 2021",259.00,265.37,266.64,258.66,15.19M,-2.23%
29,"Mar 01, 2021",264.91,260.74,266.65,257.94,22.16M,2.83%
30,"Feb 26, 2021",257.62,256.47,265.55,256.47,26.62M,1.15%
31,"Feb 25, 2021",254.69,262.54,266.92,254.04,19.05M,-3.64%
32,"Feb 24, 2021",264.31,262.33,266.38,258.39,15.74M,-0.58%
33,"Feb 23, 2021",265.86,259.15,267.46,254.96,21.92M,2.12%
34,"Feb 22, 2021",260.33,257.62,263.06,257.62,17.43M,-0.47%
35,"Feb 19, 2021",261.56,269.86,270.27,260.15,25.62M,-2.91%
36,"Feb 18, 2021",269.39,270.04,271.89,266.03,15.25M,-1.53%
37,"Feb 17, 2021",273.57,270.03,273.96,269.61,12.76M,-0.15%
38,"Feb 16, 2021",273.97,270.26,276.54,270.19,15.42M,1.28%
39,"Feb 12, 2021",270.50,270.52,271.18,268.34,9.10M,0.04%
40,"Feb 11, 2021",270.39,271.95,273.50,268.59,12.83M,-0.54%
41,"Feb 10, 2021",271.87,272.74,273.73,267.85,14.69M,0.90%
42,"Feb 09, 2021",269.45,266.59,273.30,265.84,14.61M,1.08%
43,"Feb 08, 2021",266.58,268.56,269.81,265.00,13.76M,-0.57%
44,"Feb 05, 2021",268.10,266.80,269.17,265.67,12.45M,0.60%
45,"Feb 04, 2021",266.49,267.48,268.04,264.03,16.06M,-0.06%
46,"Feb 03, 2021",266.65,265.51,269.17,263.87,14.22M,-0.16%
47,"Feb 02, 2021",267.08,264.52,268.80,263.29,17.32M,1.94%
48,"Feb 01, 2021",262.01,260.07,264.14,255.12,22.91M,1.42%
49,"Jan 29, 2021",258.33,265.30,266.56,254.85,30.39M,-2.52%
50,"Jan 28, 2021",265.00,277.84,286.69,264.77,37.76M,-2.62%
51,"Jan 27, 2021",272.14,283.10,283.18,268.15,35.35M,-3.51%
52,"Jan 26, 2021",282.05,278.35,285.33,278.05,19.37M,1.45%
53,"Jan 25, 2021",278.01,278.57,280.07,271.78,19.09M,1.28%
54,"Jan 22, 2021",274.50,272.01,278.47,272.00,21.95M,0.60%
55,"Jan 21, 2021",272.87,269.26,273.60,267.49,20.84M,2.02%
56,"Jan 20, 2021",267.48,268.93,270.32,263.60,25.20M,2.44%
57,"Jan 19, 2021",261.10,256.64,262.19,252.77,28.03M,3.87%
58,"Jan 15, 2021",251.36,247.90,253.86,247.16,24.94M,2.33%
59,"Jan 14, 2021",245.64,253.41,254.95,244.69,29.74M,-2.38%
60,"Jan 13, 2021",251.64,251.27,253.92,249.28,19.53M,0.22%
61,"Jan 12, 2021",251.09,256.63,259.61,250.40,26.45M,-2.24%
62,"Jan 11, 2021",256.84,260.47,263.39,256.11,30.41M,-4.01%
63,"Jan 08, 2021",267.57,268.31,268.95,263.18,18.53M,-0.44%
64,"Jan 07, 2021",268.74,265.55,271.55,264.80,15.79M,2.06%
65,"Jan 06, 2021",263.31,261.11,267.73,260.01,24.35M,-2.83%
66,"Jan 05, 2021",270.97,268.80,272.40,268.71,9.87M,0.75%
67,"Jan 04, 2021",268.94,274.46,274.46,265.25,15.11M,-1.54%
68,"Dec 31, 2020",273.16,272.00,277.09,269.81,12.90M,0.47%
